item,$19.99 Crispy Feast,10 pc Grilled Wings,10 pc Grilled Wings Combo,10 pc Mixed Wings,10 pc Mixed Wings Combo,10 pc Spicy Wings,10 pc Spicy Wings Combo,100 pc Family Grilled Wings,100 pc Family Mixed Wings,100 pc Family Spicy Wings,100 pc Grilled Wings,100 pc Mixed Wings,100 pc Spicy Wings,15 pc Crispy Strips,15 pc Grilled Wings,15 pc Grilled Wings Combo,15 pc Mixed Wings,15 pc Mixed Wings Combo,15 pc Spicy Wings,15 pc Spicy Wings Combo,2 pc Crispy Strips,20 Oz Soda,20 pc Crispy Strips,20 pc Grilled Wings,20 pc Mixed Wings,20 pc Spicy Wings,20pc Spicy Feast Deal,24 pc Family Grilled Wings,24 pc Family Mixed Wings,24 pc Family Spicy Wings,25 pc Game Day Pack,3 Strips Lunch,3 pc Crispy Strips Combo,3 pc Grilled Wings,30 pc Crispy Strips,30 pc Family Grilled Wings,30 pc Family Mixed Wings,30 pc Family Spicy Wings,30 pc Grilled Wings,30 pc Mixed Wings,30 pc Spicy Wings,32 Oz Soda,3pc Strips Box,4 pc Crispy Strips,40 pc Family Grilled Wings,40 pc Family Mixed Wings,40 pc Family Spicy Wings,5 pc Crispy Strips Combo,5 pc Grilled Wings,5 pc Spicy Wings,50 pc Family Grilled Wings,50 pc Family Mixed Wings,50 pc Family Spicy Wings,50 pc Grilled Wings,50 pc Mixed Wings,50 pc Spicy Wings,6 pc Grilled Wings Combo,6 pc Mixed Wings Combo,6 pc Spicy Wings Combo,6 pc Strips Meal for 2,7 pc Crispy Strips,75 pc Family Grilled Wings,75 pc Family Mixed Wings,75 pc Family Spicy Wings,75 pc Grilled Wings,75 pc Mixed Wings,75 pc Spicy Wings,8 pc Crispy Strips Combo,8 pc Grilled Wings,8 pc Grilled Wings Combo,8 pc Mixed Wings Combo,8 pc Spicy Wings Combo,8pc Grilled Box,8pc Wings Box,Add 5 Grilled Wings,Add 5 Spicy Wings,Blue Cheese Dip - Large,Blue Cheese Dip - Regular,Bottled Beverage,Bottled Cream Soda,Bottled Root Beer,Bottled Sparkling Water,Bottled Water,Buffalo Fries,Can Soda,Carrot Sticks,Celery Sticks,Cheese Dip - Large,Cheese Dip - Medium,Cheese Dip - Regular,Cheese Fries - Large,Cheese Fries - Regular,Chicken Sub,Chicken Sub Combo,Dipping Sauce,Domestic Draft Lager,Domestic Lager,Domestic Lager Special,Drink Upgrade,Extra Sauce,Flavor Platter,Flavor Platter Grilled,Fried Corn - Large,Fried Corn - Regular,Grilled Lunch Combo,Honey Mustard Dip - Large,Honey Mustard Dip - Regular,Hot Honey Strips 3pc,Large Buffalo Fries,Large Carrot Sticks,Large Celery Sticks,Large Fruit Punch,Large Lemonade,Large Veggie Sticks,Large Veggie Sticks Spicy,Legendary Feast Bundle,Premium Lager,Ranch Dip - Large,Ranch Dip - Regular,Regular Buffalo Fries,Seasoning Pack,Sports Drink,Sub Box,Triple Chocolate Cake,Triple Feast Deal,Veggie Sticks,Veggie Sticks Spicy,Voodoo Fries - Large,Voodoo Fries - Regular,Wings Lunch Combo
$19.99 Crispy Feast,1.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.03508771929824561,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.07017543859649122,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.03508771929824561,0.017543859649122806,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.03508771929824561,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.0,0.07017543859649122,0.2807017543859649,0.07017543859649122,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0
10 pc Grilled Wings,1.4915800307265486e-05,1.0,0.05137001625822234,0.005235445907850186,0.0029533284608385664,0.07569768655937234,0.017764718165953194,0.0001044106021508584,7.457900153632743e-05,4.474740092179646e-05,5.9663201229061945e-05,0.0,2.9831600614530973e-05,0.0025506018525423982,0.02854884178810614,0.006339215130587832,0.001133600823352177,0.0006861268141342124,0.017436570559193353,0.0017302328356427964,0.06085646525364318,0.01636263293707024,0.0007159584147487433,0.01476664230419283,0.0007457900153632743,0.0035648762734364512,0.07451933833509837,0.0020732962427099026,0.00047730560983249556,0.0005668004116760885,0.007875542562236177,0.0007159584147487433,0.01804811837179124,4.474740092179646e-05,0.00017898960368718583,0.003624539474665513,0.0008502006175141327,0.001073937622123115,0.006622615336425876,0.0004176424086034336,0.0010441060215085841,0.014140178691287681,4.474740092179646e-05,0.029950927016989096,0.00122309562519577,0.0006264636129051504,0.0005071372104470265,0.016407380337992036,0.0,0.0,0.0022522858463970884,0.0008054532165923362,0.0003281476067598407,0.0008800322181286637,5.9663201229061945e-05,0.00023865280491624778,0.037617648374923554,0.0012827588264248317,0.02128484703846785,0.003430634070671062,0.02200080545321659,0.0004325582089106991,0.00013424220276538938,8.949480184359291e-05,2.9831600614530973e-05,2.9831600614530973e-05,2.9831600614530973e-05,0.002431275450084274,0.0,0.030025506018525425,0.0017898960368718585,0.016168727533075786,0.0003430634070671062,1.4915800307265486e-05,0.036394552749727783,0.030159748221290812,0.009889175603717017,0.09875751383440479,0.00017898960368718583,2.9831600614530973e-05,1.4915800307265486e-05,2.9831600614530973e-05,0.0003281476067598407,0.004817803499246752,1.4915800307265486e-05,0.005444267112151902,0.0041316766851125395,0.0014617484301120177,0.005668004116760885,0.012603851259639335,0.006324299330280566,0.00981459660218069,0.040466566233611265,0.023984606894082904,0.0379010485807616,0.0,5.9663201229061945e-05,0.0,1.4915800307265486e-05,0.0,0.017033843950897184,0.0005220530107542921,0.03162149665140283,0.058574347806631566,0.0001044106021508584,0.0012529272258103008,0.0206583834255627,0.001625822233491938,0.07422102232895306,0.0005220530107542921,0.0004474740092179646,0.0027743388571513806,0.0,0.002267201646704354,0.017734886565338663,0.0017004012350282653,1.4915800307265486e-05,0.08680995778828512,0.5809107587667617,0.20024461912503916,0.0001044106021508584,0.0,5.9663201229061945e-05,0.007398236952403681,5.9663201229061945e-05,0.011514997837208956,0.03393344569902898,0.00875557478036484,0.023671375087630328,0.00011932640245812389
10 pc Grilled Wings Combo,6.000096001536024e-06,0.02066433062929007,1.0,0.000732011712187395,0.009150146402342437,0.015234243747899966,0.04930278884462151,3.0000480007680123e-05,1.8000288004608074e-05,0.0,0.0,0.0,0.0,0.0006180098881582105,0.004560072961167378,0.005232083713339414,0.0002160034560552969,0.00048000768012288196,0.004056064897038352,0.001428022848365574,0.06945111121777948,0.007278116449863198,0.00015000240003840062,0.002232035712571401,0.00012600201603225653,0.0005520088321413143,0.031524504392070274,0.0009060144962319397,0.0002160034560552969,0.0003420054720875534,0.0025380406086497383,0.0007980127682042913,0.021000336005376086,0.0,3.0000480007680123e-05,0.0009060144962319397,0.0002160034560552969,0.0003660058560936975,0.00035400566409062544,2.4000384006144097e-05,6.0000960015360245e-05,0.005442087073393174,2.4000384006144097e-05,0.012288196611145778,0.00040200643210291367,5.400086401382422e-05,0.00023400374405990496,0.02167234675754812,1.2000192003072048e-05,1.2000192003072048e-05,0.00033000528008448135,9.000144002304036e-05,9.000144002304036e-05,3.0000480007680123e-05,0.0,2.4000384006144097e-05,0.0668050688811021,0.002448039168626698,0.03438055008880142,0.0018360293764700234,0.006246099937599002,4.200067201075217e-05,3.600057600921615e-05,4.200067201075217e-05,0.0,0.0,0.0,0.0016920270724331589,0.0,0.06847309556952912,0.0035400566409062545,0.030048480775692412,0.00016200259204147266,3.0000480007680123e-05,0.05374885998175971,0.032532520520328324,0.002934046944751116,0.03552056832909327,0.00010200163202611242,6.000096001536024e-06,0.0,1.8000288004608074e-05,7.800124801996832e-05,0.0010920174722795564,0.0,0.00252004032064513,0.001206019296308741,0.0013380214083425334,0.007680122881966111,0.00849613593817501,0.0010260164162626602,0.0021060336965391447,0.022524360389766237,0.02217035472567561,0.03757860125762012,1.2000192003072048e-05,3.0000480007680123e-05,0.0,8.400134402150434e-05,0.0,0.0051360821773148374,9.000144002304036e-05,0.022632362117793885,0.03845461527384438,5.400086401382422e-05,0.0007740123841981472,0.01435222963567417,0.0006360101761628186,0.011484183746939951,0.00049800796812749,0.00020400326405222485,0.0011220179522872366,0.0,0.0017460279364469831,0.00738011808188931,0.0005820093121489943,1.2000192003072048e-05,0.049116785868573896,0.27807444919118707,0.026826429222867567,0.0001740027840445447,0.0,4.200067201075217e-05,0.010482167714683435,6.000096001536024e-06,0.005364085825373206,0.020256324101185618,0.0017940287044592713,0.004398070369125906,0.00015000240003840062
10 pc Mixed Wings,0.00022021581149526536,0.07729574983483814,0.026866329002422373,1.0,0.02048007046905968,0.06892754899801806,0.016295970050649637,0.0,0.00022021581149526536,0.00022021581149526536,0.0,0.0,0.0,0.0035234529839242457,0.01805769654261176,0.003963884606914776,0.010790574763268003,0.0028628055494384495,0.013873596124201719,0.0013212948689715921,0.06188064303016957,0.022902444395507596,0.00022021581149526536,0.00990971151728694,0.011671438009249064,0.003963884606914776,0.03281215591279454,0.0004404316229905307,0.0013212948689715921,0.00022021581149526536,0.0015415106804668576,0.001101079057476327,0.016295970050649637,0.0,0.00022021581149526536,0.0013212948689715921,0.002422373926447919,0.0,0.0033032371724289805,0.004404316229905308,0.0004404316229905307,0.01475445937018278,0.0,0.02708654481391764,0.001101079057476327,0.001981942303457388,0.00022021581149526536,0.014314027747192249,0.00022021581149526536,0.0,0.00022021581149526536,0.003743668795419511,0.0,0.0,0.0006606474344857961,0.0,0.0222417969610218,0.010790574763268003,0.016295970050649637,0.002422373926447919,0.017176833296630698,0.0,0.00022021581149526536,0.0,0.0,0.0,0.0,0.001981942303457388,0.0,0.021140717903545474,0.00946927989429641,0.015415106804668574,0.00022021581149526536,0.00022021581149526536,0.03457388240475666,0.03919841444615724,0.007927769213829552,0.100418410041841,0.00022021581149526536,0.0,0.0,0.0,0.0,0.011010790574763268,0.0,0.009689495705791676,0.007267121779343757,0.0013212948689715921,0.0061660427218674305,0.014093811935696983,0.00946927989429641,0.012992732878220656,0.04272186743008148,0.028187623871393966,0.02950891874036556,0.0,0.0,0.0,0.0,0.0,0.007707553402334287,0.00022021581149526536,0.04800704690596785,0.06782646994054173,0.0,0.001101079057476327,0.030609997797841886,0.001101079057476327,0.08588416648315349,0.00022021581149526536,0.0008808632459810614,0.0008808632459810614,0.0,0.0017617264919621229,0.01519489099317331,0.0004404316229905307,0.0,0.08059898700726713,0.648095133230566,0.25456947808852676,0.0,0.0,0.0,0.007487337590839022,0.0,0.018277912354107025,0.03083021360933715,0.011010790574763268,0.03611539308522352,0.0
10 pc Mixed Wings Combo,0.0,0.013893761841274296,0.10701003438355203,0.006525857834537927,1.0,0.012139498982527542,0.051294645989755104,0.0,0.0,0.0,0.0,0.0,0.0,0.00021051154304961055,0.002806820573994807,0.004280401375342081,0.0010525577152480528,0.0017542628587467546,0.0025261385165953267,0.001192898743947793,0.07922251070100343,0.011928987439477932,7.017051434987019e-05,0.0016840923443968844,0.0006315346291488317,0.0004210230860992211,0.01915655041751456,0.0004911936004490913,0.00028068205739948076,0.0,0.0009823872008981826,0.00028068205739948076,0.01943723247491404,0.0,0.0,0.000771875657848572,0.0009122166865483124,7.017051434987019e-05,0.00028068205739948076,7.017051434987019e-05,0.0,0.004350571889691951,0.0,0.013121886183425725,0.0003508525717493509,0.0004911936004490913,0.0,0.022945758192407552,0.0,0.0,0.00021051154304961055,0.0004210230860992211,0.0,0.0,0.0,0.0,0.04427759455476809,0.021612518419760016,0.03676934951933198,0.0010525577152480528,0.005332959090590134,7.017051434987019e-05,0.0,0.0,7.017051434987019e-05,0.0,0.0,0.0017542628587467546,0.0,0.042804013753420814,0.0258929197951021,0.026173601852501577,0.0,0.00021051154304961055,0.039295488035927306,0.03915514700722756,0.0036488667461932497,0.03298014174443899,7.017051434987019e-05,0.0,0.0,7.017051434987019e-05,0.00021051154304961055,0.001192898743947793,0.0,0.004210230860992211,0.0014735808013472739,0.0009122166865483124,0.005613641147989614,0.01108694126727949,0.001192898743947793,0.0033681846887937687,0.022454564591958458,0.023857974878955863,0.029331274998245737,0.0,7.017051434987019e-05,0.0,0.00014034102869974038,7.017051434987019e-05,0.0031576731457441582,0.0,0.022454564591958458,0.047926461300961336,0.0,0.0016139218300470143,0.015928706757420533,0.0005613641147989615,0.010595747666830397,0.0008420461721984422,0.0003508525717493509,0.001122728229597923,0.0,0.0025261385165953267,0.0067363693775875375,0.0003508525717493509,0.0,0.050171917760157184,0.28159427408602905,0.03136621991439197,0.00014034102869974038,0.0,0.0,0.01185881692512806,0.0,0.0072977334923864995,0.01915655041751456,0.0021752859448459757,0.004420742404041822,7.017051434987019e-05
10 pc Spicy Wings,0.0,0.08596012805094937,0.04300547095987398,0.005301580311319636,0.0029302664340520672,1.0,0.01720896356645607,0.00037263503785633223,0.00011856569386337844,6.775182506478769e-05,0.00010162773759718153,0.0,0.0,0.0014227883263605414,0.02195159132099121,0.00863835769576043,0.0012703467199647691,0.0008130219007774522,0.04475008045529227,0.0014566642388929353,0.04341198191026271,0.03789020816748251,0.00027100730025915074,0.015836989108894122,0.001067091244770406,0.004369992716678805,0.059265908975423026,0.006402547468622436,0.000846897813309846,0.00045732481918731683,0.006351733599823845,0.0013550365012957536,0.01678551465980115,0.0,0.00010162773759718153,0.00665661681261539,0.0015752299327563136,0.0014736021951591322,0.00484425549213232,0.000423448906654923,0.0018631751892816612,0.022933992784430632,6.775182506478769e-05,0.020765934382357423,0.003285963515642203,0.0009993394197056183,0.0005589525567844984,0.011195989091956165,0.0,0.0,0.002320500008468978,0.001084029201036603,0.0004065109503887261,0.0007113941631802707,0.00015244160639577229,0.00027100730025915074,0.03057301106048544,0.0014397262826267383,0.018292992767492675,0.002168058402073206,0.012246142380460373,0.0003218211690577415,0.00038957299412252917,1.693795626619692e-05,0.00011856569386337844,3.387591253239384e-05,3.387591253239384e-05,0.0012195328511661783,0.0,0.027913751926692525,0.001490540151425329,0.012601839462050509,0.0,8.46897813309846e-05,0.02349294534121513,0.034841376039567065,0.006538051118752011,0.059265908975423026,0.00013550365012957537,3.387591253239384e-05,0.0,3.387591253239384e-05,0.000643642338115483,0.008587543826961839,0.0,0.003997357678822473,0.0018123613204830706,0.001490540151425329,0.005183014617456258,0.015142532901980046,0.00785921170751537,0.020003726350378562,0.03734819356696421,0.03208048916817697,0.025830383305950305,0.0,1.693795626619692e-05,0.0,3.387591253239384e-05,0.0,0.010247463541049138,0.00037263503785633223,0.028371076745879843,0.05587831772218364,5.0813868798590764e-05,0.0013719744575619505,0.023831704466539066,0.0012195328511661783,0.08662070834533105,0.0006097664255830891,0.0002371313877267569,0.0015582919764901167,0.0,0.001693795626619692,0.013177729975101204,0.0028455766527210827,0.0,0.08482528498111418,0.5355781771371466,0.2667558732363353,3.387591253239384e-05,0.0,3.387591253239384e-05,0.00687681024407595,0.0,0.007232507325666085,0.02689747455072071,0.012940598587374447,0.03927912058131066,0.00044038686292111994
10 pc Spicy Wings Combo,3.484502674355803e-05,0.020750213425788804,0.14316079237590815,0.001289265989511647,0.012735857274770458,0.017701273585727477,1.0,0.0001393801069742321,6.969005348711605e-05,3.484502674355803e-05,3.484502674355803e-05,0.0,0.0,0.0005052528877815914,0.007491680749864975,0.007822708503928777,0.0004007178075509173,0.0008188581284736136,0.004163980695855184,0.0029095597330870953,0.04880045995435302,0.010714845723644093,6.969005348711605e-05,0.00388522048190672,0.0002787602139484642,0.0016377162569472272,0.02458316636758019,0.002735334599369305,0.0005052528877815914,0.00033102775406380127,0.0020907016046134816,0.0009582382354478457,0.02367719567224768,0.0,0.00010453508023067407,0.0032754325138944543,0.0006620555081276025,0.0007491680749864975,0.0005923654546404865,8.711256685889506e-05,0.00020907016046134815,0.00810146871787724,3.484502674355803e-05,0.011969266686412182,0.001271843476139868,0.00045298534766625433,0.00022649267383312717,0.024548321340836628,1.7422513371779014e-05,1.7422513371779014e-05,0.0006794780214993816,0.00024391518720490618,0.00012195759360245309,8.711256685889506e-05,3.484502674355803e-05,1.7422513371779014e-05,0.051117654232799625,0.002926982246458874,0.060839416694252316,0.0017596738505496804,0.006672822621391362,0.00010453508023067407,5.226754011533704e-05,3.484502674355803e-05,3.484502674355803e-05,0.0,1.7422513371779014e-05,0.0016202937435754483,0.0,0.05878356011638239,0.004860881230726344,0.05103054166594073,0.00015680262034601113,6.969005348711605e-05,0.013833475617192536,0.03176124187675314,0.002700489572625747,0.030733313587818178,6.969005348711605e-05,0.0,0.0,3.484502674355803e-05,0.00015680262034601113,0.0014809136366012161,0.0,0.00229977176507483,0.0008885481819607297,0.0013589560429987631,0.006916737808596268,0.010105057755631827,0.001568026203460111,0.003188319947035559,0.026377685244873425,0.029722807812254996,0.02721396588671882,0.0,0.0,0.0,5.226754011533704e-05,1.7422513371779014e-05,0.003519347701099361,5.226754011533704e-05,0.018990539575239124,0.03674408070108194,1.7422513371779014e-05,0.0009233932087042877,0.016464275136331166,0.00045298534766625433,0.012613899681168005,0.0007840131017300555,0.00033102775406380127,0.0010976183424220777,0.0,0.001463491123229437,0.005941077059776643,0.0010279282889349617,1.7422513371779014e-05,0.052807638029862186,0.27900412913566913,0.028154781608794886,6.969005348711605e-05,0.0,0.0,0.012857814868372912,0.0,0.0036935728348171507,0.015715107061344668,0.0022823492517030507,0.005261599038277262,0.0004007178075509173
100 pc Family Grilled Wings,0.0,0.0035971223021582736,0.0025693730729701952,0.0,0.0,0.011305241521068859,0.0041109969167523125,1.0,0.009249743062692703,0.02774922918807811,0.0051387461459403904,0.0005138746145940391,0.0025693730729701952,0.008221993833504625,0.003083247687564234,0.003083247687564234,0.0,0.0,0.001541623843782117,0.0010277492291880781,0.011305241521068859,0.003083247687564234,0.0046248715313463515,0.018499486125385406,0.0,0.0020554984583761563,0.008221993833504625,0.0051387461459403904,0.0010277492291880781,0.001541623843782117,0.0010277492291880781,0.0,0.0010277492291880781,0.0,0.006166495375128468,0.014902363823227132,0.001541623843782117,0.008221993833504625,0.0051387461459403904,0.0005138746145940391,0.0035971223021582736,0.0041109969167523125,0.0,0.006166495375128468,0.007194244604316547,0.0,0.0046248715313463515,0.0020554984583761563,0.0,0.0,0.03391572456320658,0.003083247687564234,0.009763617677286743,0.011305241521068859,0.0,0.0035971223021582736,0.0005138746145940391,0.0,0.0020554984583761563,0.0,0.006166495375128468,0.011305241521068859,0.001541623843782117,0.0010277492291880781,0.0035971223021582736,0.0,0.0005138746145940391,0.0010277492291880781,0.0,0.001541623843782117,0.0,0.0010277492291880781,0.0,0.0,0.01079136690647482,0.01644398766700925,0.017985611510791366,0.008735868448098663,0.0,0.0,0.0,0.0,0.0005138746145940391,0.0005138746145940391,0.0,0.0,0.0,0.012846865364850977,0.0046248715313463515,0.0005138746145940391,0.0010277492291880781,0.0,0.012846865364850977,0.0010277492291880781,0.02877697841726619,0.0,0.0,0.0,0.0,0.0,0.001541623843782117,0.0,0.040596094552929084,0.0046248715313463515,0.0,0.0025693730729701952,0.0046248715313463515,0.0,0.025693730729701953,0.0,0.0,0.04316546762589928,0.0,0.0010277492291880781,0.0051387461459403904,0.0,0.0,0.12384378211716342,0.06012332990750257,0.008221993833504625,0.0005138746145940391,0.0,0.0,0.0051387461459403904,0.0,0.0,0.0020554984583761563,0.0020554984583761563,0.0,0.0
100 pc Family Mixed Wings,0.0,0.00496031746031746,0.002976190476190476,0.000992063492063492,0.0,0.006944444444444444,0.003968253968253968,0.017857142857142856,1.0,0.008928571428571428,0.002976190476190476,0.002976190476190476,0.000992063492063492,0.006944444444444444,0.001984126984126984,0.000992063492063492,0.000992063492063492,0.003968253968253968,0.003968253968253968,0.000992063492063492,0.025793650793650792,0.003968253968253968,0.002976190476190476,0.002976190476190476,0.002976190476190476,0.002976190476190476,0.010912698412698412,0.00496031746031746,0.00992063492063492,0.001984126984126984,0.000992063492063492,0.000992063492063492,0.005952380952380952,0.0,0.006944444444444444,0.002976190476190476,0.010912698412698412,0.005952380952380952,0.003968253968253968,0.001984126984126984,0.003968253968253968,0.008928571428571428,0.0,0.006944444444444444,0.005952380952380952,0.006944444444444444,0.003968253968253968,0.00496031746031746,0.0,0.0,0.00496031746031746,0.017857142857142856,0.003968253968253968,0.000992063492063492,0.006944444444444444,0.005952380952380952,0.000992063492063492,0.0,0.0,0.000992063492063492,0.00496031746031746,0.000992063492063492,0.00992063492063492,0.003968253968253968,0.000992063492063492,0.0,0.001984126984126984,0.000992063492063492,0.0,0.000992063492063492,0.0,0.001984126984126984,0.0,0.0,0.026785714285714284,0.022817460317460316,0.021825396825396824,0.010912698412698412,0.0,0.0,0.0,0.0,0.000992063492063492,0.000992063492063492,0.0,0.0,0.0,0.010912698412698412,0.008928571428571428,0.0,0.000992063492063492,0.000992063492063492,0.018849206349206348,0.002976190476190476,0.021825396825396824,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0248015873015873,0.00496031746031746,0.0,0.00496031746031746,0.002976190476190476,0.000992063492063492,0.023809523809523808,0.000992063492063492,0.0,0.057539682539682536,0.0,0.0,0.003968253968253968,0.0,0.0,0.11011904761904762,0.050595238095238096,0.00496031746031746,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.000992063492063492,0.001984126984126984,0.0
100 pc Family Spicy Wings,0.0,0.005253940455341506,0.0,0.0017513134851138354,0.0,0.0070052539404553416,0.0035026269702276708,0.09457092819614711,0.01576182136602452,1.0,0.005253940455341506,0.0017513134851138354,0.010507880910683012,0.0017513134851138354,0.0017513134851138354,0.0,0.0,0.0,0.008756567425569177,0.0,0.0070052539404553416,0.0035026269702276708,0.0035026269702276708,0.005253940455341506,0.0,0.010507880910683012,0.014010507880910683,0.0017513134851138354,0.0,0.0017513134851138354,0.0,0.0,0.0,0.0,0.0070052539404553416,0.010507880910683012,0.0,0.012259194395796848,0.0017513134851138354,0.0,0.010507880910683012,0.010507880910683012,0.0,0.005253940455341506,0.0,0.0,0.012259194395796848,0.0017513134851138354,0.0,0.0,0.008756567425569177,0.0017513134851138354,0.03677758318739054,0.005253940455341506,0.0,0.021015761821366025,0.0017513134851138354,0.0,0.0017513134851138354,0.0,0.012259194395796848,0.0070052539404553416,0.0017513134851138354,0.012259194395796848,0.0017513134851138354,0.0,0.005253940455341506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005253940455341506,0.005253940455341506,0.010507880910683012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035026269702276708,0.005253940455341506,0.0017513134851138354,0.0,0.0017513134851138354,0.017513134851138354,0.0017513134851138354,0.008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03852889667250438,0.0017513134851138354,0.0,0.0035026269702276708,0.0,0.0017513134851138354,0.024518388791593695,0.0,0.0,0.04903677758318739,0.0,0.0,0.0035026269702276708,0.0,0.0,0.09106830122591944,0.07005253940455342,0.012259194395796848,0.0,0.0,0.0,0.010507880910683012,0.0,0.0,0.0,0.0035026269702276708,0.0,0.0
