item,$19.99 Crispy Feast,10 pc Grilled Wings,10 pc Grilled Wings Combo,10 pc Mixed Wings,10 pc Mixed Wings Combo,10 pc Spicy Wings,10 pc Spicy Wings Combo,100 pc Family Grilled Wings,100 pc Family Mixed Wings,100 pc Family Spicy Wings,100 pc Grilled Wings,100 pc Mixed Wings,100 pc Spicy Wings,15 pc Crispy Strips,15 pc Grilled Wings,15 pc Grilled Wings Combo,15 pc Mixed Wings,15 pc Mixed Wings Combo,15 pc Spicy Wings,15 pc Spicy Wings Combo,2 pc Crispy Strips,20 Oz Soda,20 pc Crispy Strips,20 pc Grilled Wings,20 pc Mixed Wings,20 pc Spicy Wings,20pc Spicy Feast Deal,24 pc Family Grilled Wings,24 pc Family Mixed Wings,24 pc Family Spicy Wings,25 pc Game Day Pack,3 Strips Lunch,3 pc Crispy Strips Combo,3 pc Grilled Wings,30 pc Crispy Strips,30 pc Family Grilled Wings,30 pc Family Mixed Wings,30 pc Family Spicy Wings,30 pc Grilled Wings,30 pc Mixed Wings,30 pc Spicy Wings,32 Oz Soda,3pc Strips Box,4 pc Crispy Strips,40 pc Family Grilled Wings,40 pc Family Mixed Wings,40 pc Family Spicy Wings,5 pc Crispy Strips Combo,5 pc Grilled Wings,5 pc Spicy Wings,50 pc Family Grilled Wings,50 pc Family Mixed Wings,50 pc Family Spicy Wings,50 pc Grilled Wings,50 pc Mixed Wings,50 pc Spicy Wings,6 pc Grilled Wings Combo,6 pc Mixed Wings Combo,6 pc Spicy Wings Combo,6 pc Strips Meal for 2,7 pc Crispy Strips,75 pc Family Grilled Wings,75 pc Family Mixed Wings,75 pc Family Spicy Wings,75 pc Grilled Wings,75 pc Mixed Wings,75 pc Spicy Wings,8 pc Crispy Strips Combo,8 pc Grilled Wings,8 pc Grilled Wings Combo,8 pc Mixed Wings Combo,8 pc Spicy Wings Combo,8pc Grilled Box,8pc Wings Box,Add 5 Grilled Wings,Add 5 Spicy Wings,Blue Cheese Dip - Large,Blue Cheese Dip - Regular,Bottled Beverage,Bottled Cream Soda,Bottled Root Beer,Bottled Sparkling Water,Bottled Water,Buffalo Fries,Can Soda,Carrot Sticks,Celery Sticks,Cheese Dip - Large,Cheese Dip - Medium,Cheese Dip - Regular,Cheese Fries - Large,Cheese Fries - Regular,Chicken Sub,Chicken Sub Combo,Dipping Sauce,Domestic Draft Lager,Domestic Lager,Domestic Lager Special,Drink Upgrade,Extra Sauce,Flavor Platter,Flavor Platter Grilled,Fried Corn - Large,Fried Corn - Regular,Grilled Lunch Combo,Honey Mustard Dip - Large,Honey Mustard Dip - Regular,Hot Honey Strips 3pc,Large Buffalo Fries,Large Carrot Sticks,Large Celery Sticks,Large Fruit Punch,Large Lemonade,Large Veggie Sticks,Large Veggie Sticks Spicy,Legendary Feast Bundle,Premium Lager,Ranch Dip - Large,Ranch Dip - Regular,Regular Buffalo Fries,Seasoning Pack,Sports Drink,Sub Box,Triple Chocolate Cake,Triple Feast Deal,Veggie Sticks,Veggie Sticks Spicy,Voodoo Fries - Large,Voodoo Fries - Regular,Wings Lunch Combo
$19.99 Crispy Feast,1.0,1.4903351763811682e-05,5.998080614203455e-06,0.00021753317380900588,0.0,0.0,3.4811668871405693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8696874910322265e-05,2.2984278753332722e-05,0.0,0.0,4.049238743116294e-05,0.0,2.3748174359096145e-05,0.0001868460388639761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8337184142003153e-05,0.0,0.0,0.0,0.00017470300489168413,0.0,0.0,0.0,0.0,0.00013633884748227596,0.0,0.0,0.0,0.0,0.0,7.82921864397933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.695648119102324e-05,0.0,1.3833171946327293e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499715259538805e-06,0.0,1.6845226062933766e-05,0.0,0.0,2.3942920078532777e-05,9.336632276737781e-05,0.0,2.6824753882883125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026198585276395077,0.0,0.0,9.976057462090982e-05,0.0,0.0,0.0,4.4138418079096045e-05,1.7174753112924e-05,9.514747859181732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.395780499649274e-05,3.4106993639045686e-05,0.0,0.0,0.0,0.0,1.66616681662168e-05,0.0,0.0,0.0001595405232929164,0.0,0.0004520795660036166,0.0,0.0,0.0,4.958903090636351e-05,5.2820795547206934e-05,3.992255025251013e-05,0.0,0.0,0.0,8.737439930100481e-05,0.0,0.0,0.0,0.0,0.0,0.0
10 pc Grilled Wings,1.4903351763811682e-05,1.0,0.014956810256098461,0.004927491471649376,0.0024415507546611424,0.04193972249539283,0.009663364408636176,0.00010147574729639616,7.34797049055051e-05,4.437147801393264e-05,5.918297897524672e-05,0.0,2.9744642246315383e-05,0.002428218454460254,0.019155324259407525,0.0038611792495684564,0.0010888408143383142,0.000625543951261967,0.012915129151291513,0.0015802307681828708,0.027731520815632967,0.01256572089666785,0.0007033276187964307,0.010154679358306322,0.000707473752723774,0.00332971105352615,0.015138430584720365,0.0013782162510534927,0.00042595106887096344,0.0005417272545832977,0.005299980928098933,0.0006674917606485795,0.010057268246461255,4.474539868150225e-05,0.00017758309408944268,0.0023004174831728723,0.0007272356115796323,0.0009650957053241113,0.005672236700904492,0.0004067520846044336,0.001013787510137875,0.010767221307286048,4.4676763615243714e-05,0.022504398892711847,0.0009745661991918231,0.0005685279187817259,0.0004819960306209243,0.010555912750582975,0.0,0.0,0.0019521654815772462,0.0007550652292461932,0.00031701658573137165,0.0008421954178859468,5.901358787860905e-05,0.00023581777181682856,0.013825617410848888,0.001152428810720268,0.01035183170112441,0.0031039136302294197,0.017562869117927225,0.0004123418171477321,0.00013072844796281502,8.83561341246116e-05,2.951201876964394e-05,2.974685427016093e-05,2.972960920428701e-05,0.0022315316795356224,0.0,0.01102258726899384,0.0015611786899108826,0.008653516089632544,0.0003409225661093324,1.4887155362353362e-05,0.02295109723175905,0.01875521751229014,0.009147729624570554,0.06780685134927544,0.0001784280488892854,2.9826706833298535e-05,1.491468798472736e-05,2.9818257719201467e-05,0.0003268216593626978,0.004589437190070902,1.491468798472736e-05,0.0051817884978492025,0.004036135800670261,0.0014120020171457387,0.004958828672469366,0.010764879739094986,0.005932642124557501,0.008956280285294278,0.024756586091415952,0.013009287725316333,0.023861619509996337,0.0,5.96205154193558e-05,0.0,1.4900464894504708e-05,0.0,0.009393919452487496,0.0005042646380820655,0.020797771106794594,0.03226787181594084,0.0001037067764970814,0.0012348401323043,0.01729347717510738,0.0015494399272189686,0.04077719230674676,0.0005172617640104044,0.00044564603820672035,0.00254553914792867,0.0,0.002201399047025939,0.015169492606626606,0.001525593844095015,1.4912686222169199e-05,0.04103417399335839,0.1176733632053951,0.08731196222660137,0.00010421784507272917,0.0,5.9563695927332294e-05,0.006364196263600903,5.962584780502348e-05,0.01048172486829957,0.02516370232722768,0.007875494734017576,0.01965154723429548,0.0001165365342034728
10 pc Grilled Wings Combo,5.998080614203455e-06,0.014956810256098461,1.0,0.0007131041658142539,0.00850103127264619,0.011377283074330986,0.03806916106076611,2.9655111058390914e-05,1.7892395135654174e-05,0.0,0.0,0.0,0.0,0.0006054870055434393,0.0037868407284685716,0.004167383533100113,0.0002124395137495574,0.00046209920114600604,0.0035461736995614497,0.001376470452153193,0.04838015306101124,0.006493367450724281,0.00014890613552840832,0.0018813438459320997,0.00012329442709189543,0.0005362993016450398,0.012236133623982263,0.0007532524543060101,0.00020601683615366568,0.0003357918797275962,0.0021219068066556644,0.0007757499402147603,0.016081454866248242,0.0,2.9903948517362233e-05,0.0007353442482444265,0.00020222333320226265,0.0003500998645515278,0.000330936381687439,2.3741267664986972e-05,5.926663466268395e-05,0.004831998806650791,2.3985273042351995e-05,0.01084699800855896,0.00036457426432178304,5.186452984803693e-05,0.0002292014386797997,0.017941942021498538,1.1999400029998501e-05,1.1999688008111789e-05,0.00031061688513387586,8.762859496310836e-05,8.874426859931963e-05,2.9458551817592646e-05,0.0,2.3883163563845666e-05,0.040720639007548715,0.0023458522113106875,0.024574555685171206,0.0017622160154337873,0.0056564097827091,4.1183011419460736e-05,3.561486089428916e-05,4.178430939490351e-05,0.0,0.0,0.0,0.0016343467828868823,0.0,0.041825638544678884,0.0033519680029088263,0.022664325410474105,0.00016159826670896152,2.9977996150825294e-05,0.04492116981586232,0.026574393106929828,0.0028385344106993593,0.029903973894639006,0.0001018757116318092,5.9996640188149465e-06,0.0,1.7997156449281014e-05,7.786995717152356e-05,0.0010697010126894753,0.0,0.0024705155730713802,0.0011941043326382577,0.001320300057430092,0.007299603084082303,0.007975397925044777,0.0009979981674185698,0.0020242681492075943,0.01803359802466289,0.016709023324801706,0.030945510603395458,1.1999904000767994e-05,2.9992022122115517e-05,0.0,8.397312859884837e-05,0.0,0.003864996049215487,8.873166951593916e-05,0.018869151538496172,0.02928637034532236,5.385448518104083e-05,0.0007696851450767,0.013385412586316885,0.0006236321276445532,0.008517569155185305,0.000496301655734078,0.00020367208793841914,0.0010828715204790115,0.0,0.0017267057895080371,0.00691162670472744,0.0005563106851797687,1.199925604612514e-05,0.03423843940306498,0.1095137160937548,0.017043158721324725,0.00017389635777076862,0.0,4.19732210849478e-05,0.00990890837521128,5.998476386997702e-06,0.005163123516468285,0.017869241192411924,0.0017140171057760656,0.004044539595656396,0.00014858664384375818
10 pc Mixed Wings,0.00021753317380900588,0.004927491471649376,0.0007131041658142539,1.0,0.004973527996149527,0.004947286895221838,0.0011961722488038277,0.0,0.0001802451333813987,0.00019565642731363725,0.0,0.0,0.0,0.001981424148606811,0.002089171974522293,0.00037519541427826993,0.006690333151283452,0.0011746634137525978,0.0021636101380589326,0.0005447117566954153,0.0031779421410961075,0.004032258064516129,0.00017265193370165745,0.001252261026854042,0.006487942220590036,0.001895335369063915,0.0005470580028344213,5.1961548454143937e-05,0.0004743083003952569,0.0001301913813305559,0.00018596248870942034,0.0005289885738468049,0.001255407583340402,0.0,0.0001967342120794806,0.0001383508577753182,0.0006908245933555235,0.0,0.0009257544899092761,0.0031525851197982345,0.0003023888720895071,0.0025355737208598243,0.0,0.004299196085284865,0.00023025558369790466,0.0007890583903208837,0.00012390038409119069,0.0015208235844642022,0.00021963540522732265,0.0,6.667555674089879e-05,0.0018780380026513477,0.0,0.0,0.0005681818181818182,0.0,0.000825608579789756,0.004029605263157895,0.000964785335262904,0.0009308623170009309,0.00340923991433192,0.0,0.0001574555188159345,0.0,0.0,0.0,0.0,0.0008414360508601347,0.0,0.0007866273352999017,0.0029778393351800555,0.0010975399426143401,0.00020064205457463884,0.00021413276231263382,0.003406083221243546,0.0037750254496097726,0.003395585738539898,0.011039023917885155,0.0002099517111064455,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.005328166626301768,0.005178907721280603,0.0008577555396711937,0.00193356812374836,0.0038152011922503726,0.004599914420196833,0.005101599654128837,0.003910974921377308,0.002045316544693362,0.0028883045221364833,0.0,0.0,0.0,0.0,0.0,0.0005816562245525401,0.00014409221902017292,0.005274108482121256,0.00490313131795533,0.0,0.0008925383791503035,0.007381053525913339,0.0006289308176100629,0.006083009686023115,0.00019245573518090838,0.0008261049153242462,0.0003721276397804447,0.0,0.0011959934220361788,0.004059062297782222,0.00016214025131738955,0.0,0.004316801320988382,0.009666040437747152,0.011166277070494368,0.0,0.0,0.0,0.0021389028686462004,0.0,0.00701072725736971,0.004660297593289171,0.003977724741447892,0.00833418030287631,0.0
10 pc Mixed Wings Combo,0.0,0.0024415507546611424,0.00850103127264619,0.004973527996149527,1.0,0.002366070818004021,0.010307824640072197,0.0,0.0,0.0,0.0,0.0,0.0,0.00016855826497359254,0.0008162932125219379,0.0010582561326810311,0.0008788375908132177,0.0012039489525644113,0.0009265216831810578,0.0008207009751858646,0.011605197154722257,0.004797381194265719,6.450780544445878e-05,0.0005255551175929575,0.0005021480778887463,0.0003121910609292887,0.0009682499148791283,0.00014524328249818446,0.00017887487702352204,0.0,0.0002957017636498046,0.00020873558419871627,0.004046631216034593,0.0,0.0,0.00020726169615435344,0.0005071983145409855,4.5697573458849335e-05,0.00015429717636167257,6.221613886642194e-05,0.0,0.0017155981073078946,0.0,0.004888122124634044,0.00015910898965791568,0.00033147078321810777,0.0,0.0062658082317774205,0.0,0.0,0.00012142799320003238,0.0003196079475842966,0.0,0.0,0.0,0.0,0.004797968277141597,0.01425200129563648,0.006095787624620467,0.0006969288667936625,0.0023319321285017337,5.692815666628714e-05,0.0,0.0,6.676458806249166e-05,0.0,0.0,0.0012260912211868563,0.0,0.0046481148465360115,0.015488582941571525,0.005096603175470719,0.0,0.0002086521073862846,0.010108120792043465,0.009879253567508232,0.002562081198265668,0.009214963532271978,6.909417536101706e-05,0.0,0.0,7.001820473323065e-05,0.00020629899601155274,0.0009500922148326161,0.0,0.0033422459893048127,0.0013048340996644713,0.0007785363516588813,0.0033141389452752807,0.00598688946989504,0.0008907985747222804,0.0022550032885464625,0.005406501317834696,0.0047169811320754715,0.007488355428161949,0.0,6.992029086841001e-05,0.0,0.00013967455827920943,7.01655907942745e-05,0.0006440255892834142,0.0,0.006281653645322131,0.00946612706508482,0.0,0.0015038577219824768,0.007977788711604695,0.0004530780993373733,0.0020388323296697364,0.0008056394763343404,0.00034361899525805784,0.0007825108817919499,0.0,0.0021990104452996153,0.0035979311895659996,0.00022683966972144088,0.0,0.007594587130626899,0.012816663898718652,0.003922945280617842,0.00013908205841446454,0.0,0.0,0.0066349966628715005,0.0,0.004830917874396135,0.006890807208844465,0.0013901968698147899,0.002136389840279426,6.303977809998108e-05
10 pc Spicy Wings,0.0,0.04193972249539283,0.011377283074330986,0.004947286895221838,0.002366070818004021,1.0,0.008802633858949922,0.000360874628873251,0.00011658894070619587,6.71073381874308e-05,0.0001007032443228546,0.0,0.0,0.0013438924886009119,0.014005662783409341,0.005000931546072307,0.0012136707877532526,0.0007324889363650236,0.03260239150017893,0.0013143215197224643,0.018224093061619193,0.02862187647939404,0.00026545002073828286,0.01044191059044258,0.0010054742486872974,0.0040467414320445455,0.01081560612523724,0.004081544508271066,0.0007451120648545542,0.00043441185461683265,0.004086213659939851,0.0012524461839530333,0.008806853527184829,0.0,0.00010071169598496038,0.004031637583479518,0.0013221683561040105,0.001306600585717504,0.004060769558426807,0.00041093413547676577,0.0018031604484951807,0.01700257424499278,6.763154335181928e-05,0.014950307908054386,0.00255182573924024,0.0008959212804081757,0.0005276876089355102,0.006839676331201755,0.0,0.0,0.00197520184544406,0.0010078264019022724,0.0003909367822645013,0.0006766771927563317,0.00015057217426219636,0.00026735733979446906,0.010306747065003882,0.00127585482273123,0.008295376863579455,0.0019335931599141968,0.009422405254652558,0.000304799794661191,0.0003781215578608184,1.669226146758363e-05,0.00011713520749665328,3.376667229444538e-05,3.3744453255496125e-05,0.001105464371804517,0.0,0.009417896288845965,0.0012773431262973016,0.006326369225274866,0.0,8.451085119329322e-05,0.01395905879511282,0.02061721341872889,0.005961389961389962,0.03771978051593847,0.00013501198231343032,3.386960203217612e-05,0.0,3.3858707613130404e-05,0.000640863479214099,0.008152304995899728,0.0,0.0037721373313726746,0.0017599842094874662,0.0014329680350425819,0.004454083637792754,0.012691111962863592,0.007315727236893969,0.018185737823562927,0.021598377917740056,0.01642471859444647,0.015326479130863007,0.0,1.6923337282112033e-05,0.0,3.383693978716565e-05,0.0,0.005302319874497156,0.0003582070110881352,0.017748344370860928,0.028856583044680032,5.042186291976201e-05,0.0013494602159136347,0.01952485359829036,0.0011541975922155785,0.04490415938605811,0.0006034294909401767,0.0002359683128265633,0.0014119308153900459,0.0,0.001636795155086341,0.010990563372322992,0.0025199874000629997,0.0,0.037195207997563894,0.09573434174314009,0.10980192566460528,3.380205516495403e-05,0.0,3.381062667996551e-05,0.005798177715575105,0.0,0.006470383222462989,0.019111576464358355,0.011514000663109985,0.03219894197525722,0.00042885890542011676
10 pc Spicy Wings Combo,3.4811668871405693e-05,0.009663364408636176,0.03806916106076611,0.0011961722488038277,0.010307824640072197,0.008802633858949922,1.0,0.00013482767337996124,6.849197787709114e-05,3.4502984508159955e-05,3.451668018569974e-05,0.0,0.0,0.00047604977182441973,0.004686239891889535,0.004472111553784861,0.00038202172540942764,0.0007356508945201834,0.002921831829629086,0.0026212525506199968,0.020186223497023596,0.007870791046495258,6.820700827009975e-05,0.00251656077550698,0.00026202875765615275,0.0015093854874191114,0.004355475984689468,0.0017216611288394688,0.0004428630331536429,0.000313950990597994,0.0013276539248769153,0.0008834206045809374,0.012296861992833617,0.0,0.00010356612697207167,0.00195747693717332,0.0005527111938561787,0.0006616707956976011,0.0004924681344148319,8.443806467955755e-05,0.00020181634712411706,0.005894880961436069,3.478018920422927e-05,0.008491755457219845,0.00097982631571883,0.00040470075492256204,0.00021341213165886893,0.01494928489581123,1.7418871605497397e-05,1.7420085358418256e-05,0.0005750855255396957,0.00022613105910096752,0.00011712344811431249,8.269520202437854e-05,3.440149990539588e-05,1.717681816620289e-05,0.017022807312728813,0.0025887175062021357,0.027683745709098692,0.0015638790393756872,0.005077555349330505,9.883538965852373e-05,5.0671395996959714e-05,3.4325924654595385e-05,3.440978614317912e-05,0.0,1.735267578260568e-05,0.001465305350727926,0.0,0.019659942430281206,0.004160453325380256,0.025743566305723525,0.00015562318439618205,6.953740243033222e-05,0.008076246274653403,0.018533391620833038,0.0024471494655741327,0.018997156888084777,6.942515967786726e-05,0.0,0.0,3.482682361955178e-05,0.00015602787698068722,0.0013941053943678143,0.0,0.002163012486481172,0.0008613409896976862,0.0013048060355643285,0.005928204515589535,0.008391810750198944,0.0014479463294560548,0.0028461670062366828,0.014969349416650188,0.01498331284033023,0.01596777820940075,0.0,0.0,0.0,5.220659891410274e-05,1.742220983309523e-05,0.0017897963885098616,5.017225808609559e-05,0.011680490366274459,0.018520795278909652,1.728369456254969e-05,0.0009073788734805684,0.01333201659095398,0.00042773710619396234,0.006207399151198182,0.000775755068266446,0.00032938647435119535,0.0009914077990746861,0.0,0.0014125006305806386,0.004900622278430076,0.0009058249147910461,1.7418264792461376e-05,0.022455844001896635,0.046518113131911704,0.010364156437192955,6.953619358876295e-05,0.0,0.0,0.01084528568069598,0.0,0.003283461883963696,0.010981920009740062,0.002004744050807254,0.004171501187910934,0.0003899164222625324
100 pc Family Grilled Wings,0.0,0.00010147574729639616,2.9655111058390914e-05,0.0,0.0,0.000360874628873251,0.00013482767337996124,1.0,0.006130790190735695,0.02192448233861145,0.004025764895330112,0.0004701457451810061,0.0023375409069658717,0.00291970802919708,0.0001633497590591054,0.00013218188227000352,0.0,0.0,0.00011285407967498025,0.00023741690408357076,0.0002555583950932788,0.00025756600128783,0.0028222013170272815,0.0010794926384599239,0.0,0.000578368999421631,5.928033671231253e-05,0.00027865243681555996,0.00019882692116512577,0.0005900865460267506,5.705808513066301e-05,0.0,3.5447165999078376e-05,0.0,0.004844570044408559,0.0007116564417177914,0.00022495500899820037,0.0016731151312349682,0.0007345919341805627,0.0002653927813163482,0.0017438963627304435,0.0003348961821835231,0.0,0.00045931256219857613,0.0007325623986185967,0.0,0.0016459400146305778,9.948763866089639e-05,0.0,0.0,0.005349327281569136,0.0009276437847866419,0.004415524052986289,0.004404404404404405,0.0,0.0025353132922854038,8.344528909620408e-06,0.0,5.392579810181191e-05,0.0,0.0005896805896805897,0.004198473282442748,0.0007991475759190197,0.0007107320540156361,0.0026246719160104987,0.0,0.00045934772622875517,0.000246669955599408,0.0,2.5096621994679515e-05,0.0,3.265199503689675e-05,0.0,0.0,0.0004812650395324854,0.0007158356262443236,0.004370629370629371,0.0004342051491622395,0.0,0.0,0.0,0.0,0.00044662795891022776,0.00017844396859386153,0.0,0.0,0.0,0.0057064597123944304,0.0007559848803023939,7.020992768377449e-05,0.00029437739181630853,0.0,0.0005299080079698165,3.327067356478632e-05,0.001276295097659366,0.0,0.0,0.0,0.0,0.0,5.2074292657524736e-05,0.0,0.002031997530737178,0.00014870871267824392,0.0,0.0016627868307283007,0.000549886967678866,0.0,0.0008083028872579133,0.0,0.0,0.010403765172157542,0.0,0.0004878048780487805,0.0006914194842010647,0.0,0.0,0.002927777440320719,0.000383985507008556,0.0001567536322755729,0.0004816955684007707,0.0,0.0,0.00075046904315197,0.0,0.0,0.00014502211587267058,0.00039916176030336295,0.0,0.0
100 pc Family Mixed Wings,0.0,7.34797049055051e-05,1.7892395135654174e-05,0.0001802451333813987,0.0,0.00011658894070619587,6.849197787709114e-05,0.006130790190735695,1.0,0.005732484076433121,0.0019317450096587251,0.002527379949452401,0.0008298755186721991,0.0015381234893430016,5.587060368187278e-05,2.249263366247554e-05,0.00026048450117218026,0.0005302929868752485,0.00015598190609889253,0.00013356484573260317,0.00030536502865733344,0.00017889887740954425,0.001329198050509526,9.24670200961657e-05,0.0006402048655569782,0.0005017561465127947,4.089660223592878e-05,0.00014304514504777708,0.001097333479644464,0.0004822763443453099,2.9312619082515022e-05,0.00016883336147222692,0.00010814708002883922,0.0,0.0045336787564766836,7.530498519001958e-05,0.0008878127522195319,0.0006948465547191662,0.00031543253686617775,0.0007069635913750442,0.0012991230919129587,0.00039217395093468126,0.0,0.0002778549597110308,0.00033001485066828007,0.0008888888888888889,0.0008820286659316428,0.00012733338426668703,0.0,0.0,0.0004362621062734491,0.0032620514679231605,0.001183431952662722,0.0002452182442373713,0.004016064257028112,0.003289473684210526,8.410358197155618e-06,0.0,0.0,0.00012056908608632747,0.0002574797878366548,0.0002313208420078649,0.00355998576005696,0.0021344717182497333,0.0005763688760806917,0.0,0.0016155088852988692,0.00013945056477478735,0.0,8.431561019207096e-06,0.0,3.315979706204198e-05,0.0,0.0,0.0006324518048300579,0.0005254260519943346,0.003106028518989129,0.0002878074306645735,0.0,0.0,0.0,0.0,0.0007686395080707148,0.0002143163309044149,0.0,0.0,0.0,0.003181949667341626,0.0008206437494301085,0.0,0.00017073587160662456,0.00012360939431396787,0.0004108463434675431,5.069794166356846e-05,0.0005119493635538594,0.0,0.0,0.0,0.0,0.0,5.293619424054207e-05,0.0,0.0006579986313628468,8.391092016715055e-05,0.0,0.002416626389560174,0.00019436345966958212,0.00022619316896629722,0.00039379122501886915,0.0006013229104028864,0.0,0.00809829656520525,0.0,0.0,0.00029561747099253563,0.0,0.0,0.0013618462217969008,0.0001678586827372156,4.9434469667009414e-05,0.0,0.0,0.0,0.0006457341189765114,0.0,0.0,0.0,0.00011005943209333039,0.0001226467161341755,0.0
100 pc Family Spicy Wings,0.0,4.437147801393264e-05,0.0,0.00019565642731363725,0.0,6.71073381874308e-05,3.4502984508159955e-05,0.02192448233861145,0.005732484076433121,1.0,0.002688172043010753,0.0013297872340425532,0.007863695937090432,0.00024271844660194174,2.8279743219931563e-05,0.0,0.0,0.0,0.0001983654685392367,0.0,4.7209338007057796e-05,9.122422915526363e-05,0.001098297638660077,9.372949667260286e-05,0.0,0.0010832280194981044,2.979105300200717e-05,2.8967874627038616e-05,0.0,0.00026946914578280785,0.0,0.0,0.0,0.0,0.0036036036036036037,0.0001522919945174882,0.0,0.0008539709649871904,8.165264962848044e-05,0.0,0.0022727272727272726,0.0002664890073284477,0.0,0.00012116316639741518,0.0,0.0,0.0017094017094017094,2.5750630890456815e-05,0.0,0.0,0.00045355587808418,0.00019615535504119262,0.007177033492822967,0.0008244023083264633,0.0,0.008689355539464157,8.44138303619665e-06,0.0,1.3735509037964947e-05,0.0,0.00036880927291886193,0.0010301313417460727,0.00041999160016799666,0.0048814504881450485,0.0007704160246533128,0.0,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.919297921904191e-05,0.000450112528132033,0.00015878056525881233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006602839220864972,0.0002847380410022779,7.771215418091389e-05,0.0,0.00013066771200836272,0.00021825483434458073,1.7024464154990723e-05,0.00011750052875237939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005857294994675187,1.6905027555194913e-05,0.0,0.0012232415902140672,0.0,0.000251004016064257,0.0002313323088616798,0.0,0.0,0.004145077720207254,0.0,0.0,0.00015271838729383018,0.0,0.0,0.0006409545292065722,0.0001318387216917545,6.950995481852936e-05,0.0,0.0,0.0,0.0005019240421616195,0.0,0.0,0.0,0.00023126734505087883,0.0,0.0
