,$19.99 Crispy Feast,10 pc Grilled Wings,10 pc Grilled Wings Combo,10 pc Mixed Wings,10 pc Mixed Wings Combo,10 pc Spicy Wings,10 pc Spicy Wings Combo,100 pc Family Grilled Wings,100 pc Family Mixed Wings,100 pc Family Spicy Wings,100 pc Grilled Wings,100 pc Mixed Wings,100 pc Spicy Wings,15 pc Crispy Strips,15 pc Grilled Wings,15 pc Grilled Wings Combo,15 pc Mixed Wings,15 pc Mixed Wings Combo,15 pc Spicy Wings,15 pc Spicy Wings Combo,2 pc Crispy Strips,20 Oz Soda,20 pc Crispy Strips,20 pc Grilled Wings,20 pc Mixed Wings,20 pc Spicy Wings,20pc Spicy Feast Deal,24 pc Family Grilled Wings,24 pc Family Mixed Wings,24 pc Family Spicy Wings,25 pc Game Day Pack,3 Strips Lunch,3 pc Crispy Strips Combo,3 pc Grilled Wings,30 pc Crispy Strips,30 pc Family Grilled Wings,30 pc Family Mixed Wings,30 pc Family Spicy Wings,30 pc Grilled Wings,30 pc Mixed Wings,30 pc Spicy Wings,32 Oz Soda,3pc Strips Box,4 pc Crispy Strips,40 pc Family Grilled Wings,40 pc Family Mixed Wings,40 pc Family Spicy Wings,5 pc Crispy Strips Combo,5 pc Grilled Wings,5 pc Spicy Wings,50 pc Family Grilled Wings,50 pc Family Mixed Wings,50 pc Family Spicy Wings,50 pc Grilled Wings,50 pc Mixed Wings,50 pc Spicy Wings,6 pc Grilled Wings Combo,6 pc Mixed Wings Combo,6 pc Spicy Wings Combo,6 pc Strips Meal for 2,7 pc Crispy Strips,75 pc Family Grilled Wings,75 pc Family Mixed Wings,75 pc Family Spicy Wings,75 pc Grilled Wings,75 pc Mixed Wings,75 pc Spicy Wings,8 pc Crispy Strips Combo,8 pc Grilled Wings,8 pc Grilled Wings Combo,8 pc Mixed Wings Combo,8 pc Spicy Wings Combo,8pc Grilled Box,8pc Wings Box,Add 5 Grilled Wings,Add 5 Spicy Wings,Blue Cheese Dip - Large,Blue Cheese Dip - Regular,Bottled Beverage,Bottled Cream Soda,Bottled Root Beer,Bottled Sparkling Water,Bottled Water,Buffalo Fries,Can Soda,Carrot Sticks,Celery Sticks,Cheese Dip - Large,Cheese Dip - Medium,Cheese Dip - Regular,Cheese Fries - Large,Cheese Fries - Regular,Chicken Sub,Chicken Sub Combo,Dipping Sauce,Domestic Draft Lager,Domestic Lager,Domestic Lager Special,Drink Upgrade,Extra Sauce,Flavor Platter,Flavor Platter Grilled,Fried Corn - Large,Fried Corn - Regular,Grilled Lunch Combo,Honey Mustard Dip - Large,Honey Mustard Dip - Regular,Hot Honey Strips 3pc,Large Buffalo Fries,Large Carrot Sticks,Large Celery Sticks,Large Fruit Punch,Large Lemonade,Large Veggie Sticks,Large Veggie Sticks Spicy,Legendary Feast Bundle,Premium Lager,Ranch Dip - Large,Ranch Dip - Regular,Regular Buffalo Fries,Seasoning Pack,Sports Drink,Sub Box,Triple Chocolate Cake,Triple Feast Deal,Veggie Sticks,Veggie Sticks Spicy,Voodoo Fries - Large,Voodoo Fries - Regular,Wings Lunch Combo
$19.99 Crispy Feast,24814.210526315786,0.3701238089929714,0.14888764536022048,5.464481507666986,0.0,0.0,0.8646518294097526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7132364843297343,0.5710717694540134,0.0,0.0,1.0070702323991796,0.0,0.5896773015450153,4.647943905655029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45549048287961724,0.0,0.0,0.0,4.356045032268198,0.0,0.0,0.0,0.0,3.391463853255005,0.0,0.0,0.0,0.0,0.0,1.9455005116806232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4209579881302829,0.0,0.3435253554602512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110141632409183,0.0,0.41839567219120166,0.0,0.0,0.5949223334048378,2.3196812756844785,0.0,0.6666365023323156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.597769350256789,0.0,0.0,2.4893870913238145,0.0,0.0,0.0,1.096591047851859,0.426588226139624,2.3639898565094706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3409100281708566,0.8471326821765597,0.0,0.0,0.0,0.0,0.41383226920909555,0.0,0.0,3.994560612735961,0.0,11.509374084562053,0.0,0.0,0.0,1.2313216983657504,1.3108837733055523,0.9911708701257541,0.0,0.0,0.0,2.178787472676775,0.0,0.0,0.0,0.0,0.0,0.0
10 pc Grilled Wings,0.3701238089929714,21.097057112599376,0.4359565634797692,1.6307128488267737,0.29311748707421775,1.8135057308972347,0.4377684377424927,0.07588869464963804,0.10464810075694135,0.11084268185253612,0.1539931176102144,0.0,0.21310158699595327,1.016224441198449,1.1606383062721741,0.2063483676897435,0.5661639620612827,0.1484117796573744,1.000911516421618,0.3776633680650505,1.0227417720515843,1.0837495505746435,0.8088328605469409,0.6643368599978811,0.2865669262781768,1.013710625233464,0.3933250887569185,0.08637421397459023,0.0831923385832631,0.2552334193819727,0.3364517988236218,0.2059924209529638,0.4685825306774339,10.548528556299688,0.46623330635578736,0.13201619443158263,0.10555009702608309,0.19900276589901156,0.8021832112695146,0.32403598417596413,0.711707950786485,0.9111621932913079,0.5806529480531939,1.7511115526661518,0.1007019432582309,0.12890258928268458,0.20314356891203023,0.6064907700151398,0.0,0.0,0.30461423063707266,0.25159917934637066,0.19534312141295718,0.4053163040193302,0.11373076610565701,0.41064831362723847,0.45131031297585644,0.23661279495090587,0.4167774247539844,0.6658876267185202,1.6897349718225498,0.18450381672659286,0.10484456875394499,0.14549694560413365,0.05795894811153674,0.21862235349843911,0.18187118200516703,0.5578877854240264,0.0,0.361141000617905,0.25464160666987784,0.3856007606066252,1.0928655711481656,0.1622850547123029,1.2341601379703302,0.9969442960030834,2.29413627450441,3.7526157252913643,1.1352676473147645,3.245701094246058,3.516176185433229,1.318566069537461,1.5786913485618579,1.8623529509072418,3.516176185433229,2.0474410651685115,3.135131341303663,0.8404518687133085,0.8042618080645828,1.4495863766585193,1.8443612815963166,1.9598847352944218,1.2646953166688493,0.5831984018473723,1.2767671451429017,0.0,1.622850547123029,0.0,0.30138653017999106,0.0,0.4328029033824077,0.30766541622540755,1.2084450860206608,1.414176964378973,0.3196523804939299,1.6624322677845662,2.0249081151039596,0.6735732938703374,1.7507580833243466,1.1256051813124666,2.075120371731086,0.6316890893341088,0.0,1.487362096992164,2.0024268305963644,0.30849980898362356,1.4064704741732914,1.5231965313897575,2.712866861383746,2.828292025610355,1.12732366250531,0.0,0.7274847280206681,0.918793601532118,1.834526705443424,2.2066018277911827,1.8719112687661303,1.5328595773110327,2.1881595737334294,0.10463512517098264
10 pc Grilled Wings Combo,0.14888764536022048,0.4359565634797692,8.486595785532568,0.22800367448468914,0.908150906809148,0.3649700486029098,1.214947777230885,0.021805230692529726,0.025257725552180265,0.0,0.0,0.0,0.0,0.2462308072985506,0.18538739320527584,0.17031003233417102,0.10788045490083775,0.10382744499810453,0.23283030645373443,0.3116990427402394,1.1671816997877842,0.4820529472184971,0.16946077846510718,0.10041711352836019,0.04841578687752892,0.1569696043966619,0.1663914195302086,0.03774486653163141,0.037648484076299754,0.15400699133249168,0.10842787293947917,0.22960074033275663,0.5452308317002091,0.0,0.07814544922221518,0.032999664296227894,0.02681624227851949,0.06782160918609809,0.042879947875860365,0.018621164641870695,0.04089925679774732,0.3506761903179061,0.3114347077259658,0.7184419712620164,0.033098662182355326,0.011111341587109852,0.09373470281386863,0.8011076724164656,1.3056301208511645,1.8859101745627929,0.04463212547373219,0.028113722787762484,0.0535769935955339,0.013817316485725446,0.0,0.04129730309261591,0.8014806307031709,0.4515559572896829,0.6732036693399455,0.35637413343940805,0.47972123222955065,0.01791500919744511,0.028116827561123915,0.06828295459623906,0.0,0.0,0.0,0.3882576267878301,0.0,0.8235811990688182,0.503630206544379,0.7166127958108031,0.5160767707418454,0.32640753021279106,1.8226546402973087,1.0753773715010304,0.6806536557528992,1.3497205236104777,0.6469602168343214,0.6528150604255822,0.0,0.7956183548936785,0.3752576367752496,0.4221263823358643,0.0,0.947718752970933,0.9151318416802825,0.7693133577942126,1.0897715294423844,0.977152352603197,0.29921811944867405,0.42055557259945375,0.7039503409171899,0.5390839008327948,1.2659049087762995,2.8288652618441894,0.8160188255319778,0.0,1.6973191571065138,0.0,0.13049968549438407,0.05304122365957856,0.8649168977609049,0.9284205993014855,0.16532329452336172,1.0269895462792697,1.4067870491333268,0.26349711577810553,0.2708939717405913,1.0737613570109805,0.9460467433052699,0.25547221698238737,0.0,1.1454542549118634,0.8332811380382422,0.10559258481229594,1.1315461047376758,0.8618195397639201,1.2986141964555977,0.3789014465315516,1.8787120441255305,0.0,0.512122159471793,1.3017896950852048,0.1844912127289689,1.0279117507473399,1.1174238444601388,0.3140849288122587,0.40655347433470834,0.1315343426151979
10 pc Mixed Wings,5.464481507666986,1.6307128488267737,0.22800367448468914,311.47544593701826,2.0326444791342855,1.6513120916392,0.4015746990145713,0.0,0.3090034185883117,0.5454911487513454,0.0,0.0,0.0,1.4038329957724767,0.7341262558372998,0.1290287679937938,5.3892291140232675,0.6192354790000363,0.7963860833616946,0.2884031906824243,1.0399539020971713,1.5169021951510138,0.24878230506151616,0.44582827275568,4.484704872225474,1.127172904476544,0.1731878519730113,0.018348528522695546,0.23029607832681573,0.09916442086501695,0.06585502360635279,0.3167976463964791,0.42309157823964444,0.0,0.5736196057771975,0.048125374697347865,0.3007311423950848,0.0,0.4001140437659736,3.417174393165313,0.3002172972886923,0.9507450969375955,0.0,1.583642520265098,0.09065587226759947,0.40780899235280255,0.0882116810923303,0.52911101782109,23.959649687462942,0.0,0.02978346203260836,1.1694086972017028,0.0,0.0,1.2593346870768933,0.0,0.2668415698817484,1.990388217385745,0.31909049754048446,0.47018387612284906,1.3192378791858939,0.0,0.17199085915903825,0.0,0.0,0.0,0.0,0.45478244864262896,0.0,0.2542764812275501,1.3471579335437323,0.3676279964859931,0.701521274632924,2.395964968746294,1.172420163320831,1.2957215493886103,1.8391202318734883,3.815726925483715,1.3967508786413376,0.0,0.0,0.0,0.0,4.256291964157123,0.0,3.643956293865675,5.514318517125324,0.7596962096024836,0.8749310279129726,1.6209488160651462,2.761534881503461,2.594529339303131,1.3351798950832259,0.6853969825841657,0.9940626802477063,0.0,0.0,0.0,0.0,0.0,0.19583668255511594,0.12978143580709092,1.8346342226438082,1.6375535529940193,0.0,1.4609542492355454,3.0003525284300445,0.45617376382105773,2.025873451776744,0.4748101310015522,4.084923881141223,0.2005637127733537,0.0,1.1557530461484906,1.7156386820191796,0.07990647663853725,0.0,1.4142167623489479,3.0266194650927614,3.5955863782386146,0.0,0.0,0.0,0.9298590887574522,0.0,3.502569030317371,1.7007239637746707,1.9276856413975632,3.3384728536481925,0.0
10 pc Mixed Wings Combo,0.0,0.29311748707421775,0.908150906809148,2.0326444791342855,99.2498772015999,0.2908285837476377,1.2640322705780707,0.0,0.0,0.0,0.0,0.0,0.0,0.08387313566332387,0.11410982978540415,0.1393317340812297,0.5256879089067792,0.3794535754763721,0.14500793746987,0.26037776426345655,1.3313979154559812,0.790095018696885,0.0792730648575079,0.07576567488909945,0.2426647364342296,0.1197224091696018,0.10111136332643007,0.02046328945866688,0.04892168931686994,0.0,0.04196865654290197,0.08075661285728225,0.5046480411329926,0.0,0.0,0.028113940442860426,0.11324922352504158,0.013002735124014135,0.033998416443127476,0.05444315809193632,0.0,0.2803413387926739,0.0,0.7671844839905415,0.02888697747296114,0.10106912138655795,0.0,0.8481787017803463,0.0,0.0,0.02847099173884105,0.13151485494911647,0.0,0.0,0.0,0.0,0.531211703006171,3.9865626210345293,0.7199786202292319,0.20430192919225998,0.40958898063214555,0.02993060229240045,0.0,0.0,0.13633224890329654,0.0,0.0,0.4025384377092793,0.0,0.5148384292952586,3.683685846649604,0.62420253922231,0.0,2.290381781575382,1.3325325157730985,1.2942913243705798,0.846480829011513,1.253188681319398,0.4450667139085197,0.0,0.0,3.101558662549997,1.0127538489959174,0.46112268718972355,0.0,1.5833535315331013,1.118158487786265,0.5244912209840645,0.7965479711203844,1.2751244590870696,0.3478861675107625,0.6725955252967379,0.70176902367616,0.5801192774251571,0.9880784211843845,0.0,1.908651484646152,0.0,2.8357107771885683,49.62493860079995,0.08023145623209434,0.0,0.8581221989276692,1.1571020437097626,0.0,2.141413860822512,1.5613113045573925,0.23257147557492652,0.24993715115309,1.8155465341756079,1.6270471672393425,0.2556339399912425,0.0,1.6572335710842283,0.7605961691828523,0.06365435941611075,0.0,0.8803332365605251,1.3150518612276567,0.443022289662727,1.5152653007877845,0.0,0.0,1.4727569801624711,0.0,1.3984537635776166,1.056755712793946,0.38083255269830385,0.40864925584607503,0.061531231991072466
10 pc Spicy Wings,0.0,1.8135057308972347,0.3649700486029098,1.6513120916392,0.2908285837476377,23.957214722471587,0.42407321215448773,0.270842098609648,0.16636954668383047,0.16782637283692878,0.2623052706839955,0.0,0.0,0.5668749399120038,0.8924305216959322,0.28118796622619235,0.6344601356586757,0.1758596584613299,2.568789013667611,0.3179506892179871,0.7295732199055949,2.5095897604387236,0.30616248846609057,0.712490720618052,0.410025679846702,1.2426540809002151,0.31281502800244837,0.2667322660626862,0.14761068837012686,0.2059359431731082,0.27135301198885,0.38986517042264585,0.43580160413321606,0.0,0.26472060466819436,0.24245320696138167,0.1955605169130043,0.27306140191995654,0.586774292252023,0.32854106860218857,1.2700210214322285,1.4778163432449443,0.8791638430264802,1.2141015728236675,0.2705454133627969,0.20562637018123708,0.22389920301375316,0.4138542476362565,0.0,0.0,0.3138399710249194,0.33861787593599413,0.2419920679037534,0.32764670086089437,0.2905861624019465,0.46632048121599196,0.36679366697254495,0.26556641254695945,0.3581940900444294,0.4208211176720685,0.9405444311656689,0.13726992754130282,0.30426059559185337,0.02753702841663401,0.23035783386991912,0.24826129246084547,0.20652771312475507,0.2798376800807843,0.0,0.3357412293263589,0.21205339927353647,0.30053564027650337,0.0,0.9214313354796764,0.7966592380740372,1.1516976485574344,1.5167270596808322,2.25200264121452,0.8594516492366489,3.685725341918706,0.0,1.4973259201544742,3.096510746441906,3.3195703373307173,0.0,1.503297706594867,1.375226381601105,0.8570060551128047,0.7354441919217802,1.7415636657903397,2.2919892023148076,3.994560297506557,1.1672372994906832,0.7800540611728101,0.8701443887815079,0.0,0.46071566773983824,0.0,0.684491849213474,0.0,0.2603717625719961,0.2196078016226562,1.0842272475788255,1.3490859512739615,0.15556632936669865,1.8203887359476536,2.3359529531890177,0.5052488166426345,2.0432473248177128,1.3147251981844166,1.0996754298839417,0.3548074298885039,0.0,1.1111880669049903,1.4878832165788214,0.516266299817243,0.0,1.4883727990340865,2.501162642468886,3.7677092765620976,0.3657590033965128,0.0,0.41305542624951014,0.8540371566707757,0.0,1.3859545707214969,1.483777573295042,2.265541780909555,3.63092483768457,0.38616713129836405
10 pc Spicy Wings Combo,0.8646518294097526,0.4377684377424927,1.214947777230885,0.4015746990145713,1.2640322705780707,0.42407321215448773,24.642577138177952,0.10130555863588059,0.09778800451657917,0.0863137553000979,0.08993641291305822,0.0,0.0,0.20130555972032693,0.3045703822660032,0.25463769527390917,0.20013392449791415,0.17712205620039206,0.23902499740359295,0.6350787626660058,0.8201309208910962,0.7096785268077471,0.07873027839673466,0.1747922867080277,0.10711253306461484,0.4657021011235881,0.12975391770085565,0.113954953040969,0.0880634303151153,0.14906366304532986,0.08931706103000346,0.2757001103742448,0.6147300255292749,0.0,0.2722936700351155,0.1193007107866365,0.08219239280705365,0.13882232633848446,0.0717519587820545,0.06758797898567732,0.14251128947380023,0.5220409279841799,0.45215737868216427,0.6997954073217697,0.10471553239926598,0.0932073036940103,0.09072599909269707,0.9074166628604624,1.8955828567829194,2.738064126464217,0.09189716087100211,0.07619171376645127,0.07260018517139968,0.040121421586092394,0.06642204080371417,0.029978804304352742,0.613273969187695,0.5398999685985779,1.19129328801558,0.34155349127980966,0.5124949524284402,0.04458849904374781,0.04082149719190163,0.05664960261650104,0.06769938774224712,0.0,0.10621800490593945,0.37179748115680566,0.0,0.707037333765997,0.691538827353817,1.2170045936083365,0.4995116987468504,0.7582331427131678,0.46910108481690943,1.0498824025543576,0.6264719462715406,1.1678130744901245,0.44201932086417844,0.0,0.0,1.540161071136122,0.7543646062707535,0.5724566976619639,0.0,0.8648817288592102,0.6742336019565857,0.7813500068202766,0.9814509554430825,1.1621966775201833,0.45728493658474556,0.6366781895081978,0.8243777048235945,0.7227257920495725,0.9167529351902722,0.0,0.0,0.0,1.0561104487790551,12.321288569088976,0.08942103188445481,0.03080322142272244,0.7257412412691894,0.8871226816949559,0.05333891155449773,1.225193797676765,1.6138070267205935,0.18767047615484084,0.29754220753211763,1.6904206878323293,1.5351113627061677,0.2499166709119786,0.0,0.9601004079809591,0.670800575087306,0.18649461918323487,1.64283847587853,0.9265804652749954,1.302955823590259,0.3976633412418047,0.7524451034558153,0.0,0.0,1.5968234197888602,0.0,0.7077938427440355,0.8669112550170248,0.39957638384717314,0.48637724957386713,0.3513820670663936
100 pc Family Grilled Wings,0.0,0.07588869464963804,0.021805230692529726,0.0,0.0,0.270842098609648,0.10130555863588059,726.8293936279548,12.979096314784908,68.73693039563847,13.263310102699906,3.9935680968568947,18.354277616867545,3.2758507881823316,0.1253478302367776,0.10036307561833123,0.0,0.0,0.0884938385098971,0.22433005976171444,0.18999366293356867,0.20421336276130783,5.224811935025235,0.8322738690990927,0.0,0.5845029301390872,0.043397009777244346,0.21408188083648638,0.17913232128846698,0.6942019041336722,0.04390657204469946,0.0,0.026683409582875833,0.0,16.062528035976907,0.5427871247446937,0.191388412260499,1.5235517225268278,0.6224453144026332,0.3986996125221914,2.4519545809135823,0.26490365143615663,0.0,0.3605304531884697,0.5923285121829773,0.0,1.8525812921698084,0.07598049274806135,0.0,0.0,4.586989862253301,0.9631131541006469,5.812187912008056,5.206853357152395,0.0,6.189544714593289,0.00616510928145584,0.0,0.04024860279801505,0.0,0.47360733729015303,4.822149173647469,1.2040243958497319,1.6708721692596664,6.988744169499566,0.0,3.1328853173618745,0.2358304327151054,0.0,0.018542354529392104,0.0,0.024510332286637713,0.0,0.0,0.3659414352957816,0.5435635466146569,4.172384578805711,0.33194798086331656,0.0,0.0,0.0,0.0,2.4722088218637914,0.19864153966328363,0.0,0.0,0.0,7.386477577519867,0.656246442882383,0.05910143060887582,0.29972346128987826,0.0,0.40150109023353014,0.024990266073955367,0.9694059123815818,0.0,0.0,0.0,0.0,0.0,0.03917021181101666,0.0,1.5514177432819547,0.11165957501453629,0.0,3.4091434973168617,0.45332394612970156,0.0,0.6060750088622417,0.0,0.0,9.828343378098552,0.0,0.674238769599216,0.5802102607391673,0.0,0.0,2.173004389831747,0.280777360103248,0.11612896114525795,5.5483159818927845,0.0,0.0,0.638185436498336,0.0,0.0,0.11338992100280107,0.35986106875997265,0.0,0.0
100 pc Family Mixed Wings,0.0,0.10464810075694135,0.025257725552180265,0.3090034185883117,0.0,0.16636954668383047,0.09778800451657917,12.979096314784908,1403.1845238095239,22.11674380785589,7.6816671011470286,23.12941522762951,7.086790524290523,2.7668427230046952,0.08066365001348184,0.032292748867935275,0.49547476123217643,0.85834808001806,0.227789695423624,0.21654082157554377,0.43348301631434155,0.2628301613316832,3.3622632359653126,0.13389591181108088,1.1435896689564171,0.8463115342638866,0.05759898259497101,0.20664848219633056,1.7291244902150633,0.8934635618016705,0.04238203829314739,0.28543216513619274,0.15454141383415584,0.0,18.088934929404545,0.1084014516372305,1.354781862714365,1.1029879657876513,0.4806661038998111,1.5394235039051276,2.704934021801492,0.5753376179629026,0.0,0.4060140404541446,0.4900813285323443,1.4289048103966637,1.5895604914296502,0.18335570298577303,0.0,0.0,0.6708665728674335,5.578030350832912,2.362263508096841,0.45691453070971133,13.237589847259658,10.242222801529373,0.01190208597392169,0.0,0.0,0.19255997307664657,0.3809688650655744,0.4231557671319432,7.7481199547737365,6.451423097974822,1.9274512689691259,0.0,12.09641830870279,0.22764187602360866,0.0,0.011932348516599547,0.0,0.047318558164481134,0.0,0.0,0.9083189197520293,0.75424160526348,5.063155572217406,0.41466377674837496,0.0,0.0,0.0,0.0,4.772736475542597,0.3834885279610614,0.0,0.0,0.0,6.274402342237708,1.266920216120156,0.0,0.28931639666175746,0.1981059612889346,0.589091321837085,0.07236764550582908,0.7352289881108325,0.0,0.0,0.0,0.0,0.0,0.07562027002404605,0.0,0.9478158681267215,0.1197583404862696,0.0,6.581540918431163,0.2917223542223542,0.411008940776076,0.561629508212344,2.1390007984901276,0.0,13.101207723913776,0.0,0.0,0.4480512569041346,0.0,0.0,1.9321856114980416,0.23628094797862356,0.07006044096871031,0.0,0.0,0.0,0.9856419519252076,0.0,0.0,0.0,0.17368294638068124,0.18341082593419036,0.0
100 pc Family Spicy Wings,0.0,0.11084268185253612,0.0,0.5454911487513454,0.0,0.16782637283692878,0.0863137553000979,68.73693039563847,22.11674380785589,2477.07530647986,13.560631239853247,13.61030388175747,75.06288807514727,0.6977676919661577,0.07119873836566525,0.0,0.0,0.0,0.5026532683603612,0.0,0.11772891834699079,0.23199019494075016,3.956989307475814,0.2363696656840097,0.0,2.988028113968468,0.07394972068871934,0.07296030474742599,0.0,0.7886263312575166,0.0,0.0,0.0,0.0,18.247331907770604,0.3827273669013252,0.0,2.271652973320977,0.21213285145841052,0.0,7.16262739223092,0.6771048673749048,0.0,0.30717699733133186,0.0,0.0,4.910656229215242,0.0647364443466407,0.0,0.0,1.1842968571810384,0.5470572673321245,21.893342355251285,2.4198065514293647,0.0,36.16168330627533,0.021011037936450195,0.0,0.03429237348727552,0.0,0.9415468693179311,2.988028113968468,1.3677942056763441,19.93049097167703,3.4025759704393677,0.0,32.03114620448095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17367140899389047,1.2188331834409676,0.3992814077016672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013882362991756,0.7455082182423334,0.20142098767928604,0.0,0.34972120661864464,0.5473352865810505,0.04258411364265949,0.2949812211493867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4724178417918163,0.042282454364329154,0.0,4.647420837673283,0.0,0.7255639444873636,0.5783505268456361,0.0,0.0,11.16518167762976,0.0,0.0,0.3954778169521609,0.0,0.0,1.597914848492156,0.3271470012189863,0.1731511283625989,0.0,0.0,0.0,1.3049830396768076,0.0,0.0,0.0,0.6132133448396732,0.0,0.0
