ORDER_ID,RECOMMENDATION_1,RECOMMENDATION_2,RECOMMENDATION_3
9351345556,10 pc Grilled Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries
3595377080,Ranch Dip - Regular,10 pc Grilled Wings,2 pc Crispy Strips
4071757785,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
3931766769,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
3739700809,Ranch Dip - Regular,Large Buffalo Fries,10 pc Spicy Wings
1160484742,Ranch Dip - Regular,2 pc Crispy Strips,20pc Spicy Feast Deal
3507129215,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
2494847505,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
9679605865,20pc Spicy Feast Deal,Regular Buffalo Fries,10 pc Grilled Wings Combo
8053157007,10 pc Spicy Wings,10 pc Grilled Wings,Ranch Dip - Large
1472986083,Ranch Dip - Regular,6 pc Grilled Wings Combo,2 pc Crispy Strips
5119671888,Ranch Dip - Regular,Fried Corn - Regular,10 pc Spicy Wings
71920208,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
6921313413,10 pc Grilled Wings Combo,20pc Spicy Feast Deal,Regular Buffalo Fries
1458039332,10 pc Grilled Wings Combo,Regular Buffalo Fries,20pc Spicy Feast Deal
8599974689,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
3813306858,Ranch Dip - Regular,Regular Buffalo Fries,Grilled Lunch Combo
6103196605,Ranch Dip - Regular,10 pc Grilled Wings Combo,2 pc Crispy Strips
1733472163,Regular Buffalo Fries,Blue Cheese Dip - Regular,10 pc Grilled Wings Combo
9115730530,Regular Buffalo Fries,20pc Spicy Feast Deal,10 pc Grilled Wings
6675277727,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
786744543,Ranch Dip - Regular,Regular Buffalo Fries,15 pc Crispy Strips
3897845188,10 pc Grilled Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings
4587042437,20pc Spicy Feast Deal,10 pc Spicy Wings,10 pc Grilled Wings
3772126021,Regular Buffalo Fries,10 pc Grilled Wings,10 pc Grilled Wings Combo
